symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,signal_count,trade_count,win_count,loss_count,win_rate,total_pnl,avg_pnl,final_equity,total_return,take_profit_count,stop_loss_count,time_exit_count,profit_factor
BTCUSDT,5m,RandomForest,0.1,8,3000,500,2025-11-30 05:35:00+00:00,2025-12-10 15:30:00+00:00,2025-12-10 15:35:00+00:00,2025-12-12 09:10:00+00:00,0.728,0.1793103448275862,0.6046511627906976,0.2765957446808511,388,43,14,29,32.55813953488372,-70.44931078319405,-1.638356064725443,9929.550689216805,-0.7044931078319496,3,11,29,0.48585774584277525
BTCUSDT,5m,RandomForest,0.12,8,3000,500,2025-11-30 05:35:00+00:00,2025-12-10 15:30:00+00:00,2025-12-10 15:35:00+00:00,2025-12-12 09:10:00+00:00,0.728,0.1793103448275862,0.6046511627906976,0.2765957446808511,369,43,15,28,34.883720930232556,-64.27985920803962,-1.4948804466985959,9935.720140791958,-0.6427985920804167,3,11,29,0.5116753613967169
BTCUSDT,5m,RandomForest,0.15,8,3000,500,2025-11-30 05:35:00+00:00,2025-12-10 15:30:00+00:00,2025-12-10 15:35:00+00:00,2025-12-12 09:10:00+00:00,0.728,0.1793103448275862,0.6046511627906976,0.2765957446808511,351,43,16,27,37.2093023255814,-68.00586124816346,-1.5815316569340339,9931.994138751834,-0.6800586124816619,3,11,29,0.4799883543662261
BTCUSDT,5m,RandomForest,0.2,8,3000,500,2025-11-30 05:35:00+00:00,2025-12-10 15:30:00+00:00,2025-12-10 15:35:00+00:00,2025-12-12 09:10:00+00:00,0.728,0.1793103448275862,0.6046511627906976,0.2765957446808511,327,42,16,26,38.095238095238095,-63.3809304083336,-1.5090697716269905,9936.619069591663,-0.6338093040833701,3,11,28,0.49758539311775807
BTCUSDT,5m,RandomForest,0.3,8,3000,500,2025-11-30 05:35:00+00:00,2025-12-10 15:30:00+00:00,2025-12-10 15:35:00+00:00,2025-12-12 09:10:00+00:00,0.728,0.1793103448275862,0.6046511627906976,0.2765957446808511,274,38,15,23,39.473684210526315,-37.264542882737715,-0.980645865335203,9962.735457117264,-0.3726454288273635,4,9,25,0.6487407218989938
BTCUSDT,5m,RandomForest,0.05,9,3000,500,2025-12-01 23:15:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-14 02:50:00+00:00,0.944,0.06666666666666667,1.0,0.125,179,32,6,26,18.75,-60.70709391860123,-1.8970966849562885,9939.292906081399,-0.6070709391860145,0,3,29,0.08279265890238294
BTCUSDT,5m,RandomForest,0.08,9,3000,500,2025-12-01 23:15:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-14 02:50:00+00:00,0.944,0.06666666666666667,1.0,0.125,152,29,7,22,24.137931034482758,-44.58873838263128,-1.5375427028493545,9955.411261617366,-0.44588738382633897,0,2,27,0.1631932483199307
BTCUSDT,5m,RandomForest,0.1,9,3000,500,2025-12-01 23:15:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-14 02:50:00+00:00,0.944,0.06666666666666667,1.0,0.125,134,27,8,19,29.629629629629626,-40.82856074950428,-1.5121689166483065,9959.171439250495,-0.40828560749505416,0,2,25,0.1892432061131016
BTCUSDT,5m,RandomForest,0.12,9,3000,500,2025-12-01 23:15:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-14 02:50:00+00:00,0.944,0.06666666666666667,1.0,0.125,127,23,7,16,30.434782608695656,-37.65339268723335,-1.6371040298797108,9962.346607312767,-0.37653392687232556,0,2,21,0.19749168073638007
BTCUSDT,5m,RandomForest,0.15,9,3000,500,2025-12-01 23:15:00+00:00,2025-12-12 09:10:00+00:00,2025-12-12 09:15:00+00:00,2025-12-14 02:50:00+00:00,0.944,0.06666666666666667,1.0,0.125,118,22,6,16,27.27272727272727,-38.42457449257188,-1.7465715678441762,9961.575425507432,-0.38424574492568353,0,2,20,0.18979275922338232
